article_number;name;law_type
230.2;Использование в отношении спортсмена субстанций и (или) методов, запрещенных для использования в спорте;УК РФ
231;Незаконное культивирование растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры;УК РФ
232;Организация либо содержание притонов или систематическое предоставление помещений для потребления наркотических средств, психотропных веществ или их аналогов;УК РФ
233;Незаконная выдача либо подделка рецептов или иных документов, дающих право на получение наркотических средств или психотропных веществ;УК РФ
234;Незаконный оборот сильнодействующих или ядовитых веществ в целях сбыта;УК РФ
234.1;Незаконный оборот новых потенциально опасных психоактивных веществ;УК РФ
235;Незаконное осуществление медицинской деятельности или фармацевтической деятельности;УК РФ
235.1;Незаконное производство лекарственных средств и медицинских изделий;УК РФ
236;Нарушение санитарно-эпидемиологических правил;УК РФ
237;Сокрытие информации об обстоятельствах, создающих опасность для жизни или здоровья людей;УК РФ
238;Производство, хранение, перевозка либо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности;УК РФ
238.1;Обращение фальсифицированных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок;УК РФ
239;Создание некоммерческой организации, посягающей на личность и права граждан;УК РФ
240;Вовлечение в занятие проституцией;УК РФ
240.1;Получение сексуальных услуг несовершеннолетнего;УК РФ
241;Организация занятия проституцией;УК РФ
242;Незаконные изготовление и оборот порнографических материалов или предметов;УК РФ
242.1;Изготовление и оборот материалов или предметов с порнографическими изображениями несовершеннолетних;УК РФ
242.2;Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов;УК РФ
243;Уничтожение или повреждение объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, включенных в единый государственный реестр объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, выявленных объектов культурного наследия, природных комплексов, объектов, взятых под охрану государства, или культурных ценностей;УК РФ
243.1;Нарушение требований сохранения или использования объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, включенных в единый государственный реестр объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, либо выявленных объектов культурного наследия;УК РФ
243.2;Незаконные поиск и (или) изъятие археологических предметов из мест залегания;УК РФ
243.3;Уклонение исполнителя земляных, строительных, мелиоративных, хозяйственных или иных работ либо археологических полевых работ, осуществляемых на основании разрешения (открытого листа), от обязательной передачи государству обнаруженных при проведении таких работ предметов, имеющих особую культурную ценность, или культурных ценностей в крупном размере;УК РФ
244;Надругательство над телами умерших и местами их захоронения;УК РФ
245;Жестокое обращение с животными;УК РФ
246;Нарушение правил охраны окружающей среды при производстве работ;УК РФ
247;Нарушение правил обращения экологически опасных веществ и отходов;УК РФ
248;Нарушение правил безопасности при обращении с микробиологическими либо другими биологическими агентами или токсинами;УК РФ
249;Нарушение ветеринарных правил и правил, установленных для борьбы с болезнями и вредителями растений;УК РФ
250;Загрязнение вод;УК РФ
251;Загрязнение атмосферы;УК РФ
252;Загрязнение морской среды;УК РФ
253;Нарушение законодательства Российской Федерации о континентальном шельфе и об исключительной экономической зоне Российской Федерации;УК РФ
254;Порча земли;УК РФ
255;Нарушение правил охраны и использования недр;УК РФ
256;Незаконная добыча (вылов) водных биологических ресурсов;УК РФ
257;Нарушение правил охраны водных биологических ресурсов;УК РФ
258;Незаконная охота;УК РФ
258.1;Незаконные добыча и оборот особо ценных диких животных и водных биологических ресурсов, принадлежащих к видам, занесенным в Красную книгу Российской Федерации и (или) охраняемым международными договорами Российской Федерации;УК РФ
259;Уничтожение критических местообитаний для организмов, занесенных в Красную книгу Российской Федерации;УК РФ
260;Незаконная рубка лесных насаждений;УК РФ
261;Уничтожение или повреждение лесных насаждений;УК РФ
262;Нарушение режима особо охраняемых природных территорий и природных объектов;УК РФ
263.1;Нарушение требований в области транспортной безопасности;УК РФ
